"Барча солиқ турлари бўйича бўйича    ""CAPITAL LOGISTICS 2020"" MAS'ULIYATI CHEKLANGAN JAMIYAT нинг (СТИР: 308020562)    2025 йил учун     Тошкент шаҳар, Янгиҳаёт тумани даги    ШАХСИЙ ҲИСОБВАРАҒИ";;;;;;;;;;;;;;;;;
Шакллантирилган сана ва вақти: 06.02.2026 16:03:54    Манба:  Электрон солиқ хизматлари портали (https://my3.soliq.uz);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;сўм
Ҳудуд;Солиқ коди;Солиқ номи;Операция санаси;Операция мазмуни;Тўлов муддати;Тўлаш учун ҳисобланган;Камайтирилган;Тўланган;Қайтарилган;Қарздорлик;Ортиқча тўлов;Салбий фарқ;Пеня;Пеня муддати;Туланган пеня;Қолдиқ пеня;Ортиқча тўланган сумма
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;;Сальдо на;01.01.2025;0;0;0;0;172 839 189,95;0;0;0;;0;701 920,19;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.01.2025;Пост.сог.Мемор №136 Прочие ;03.01.2025;0;0;1 672 081,75;0;171 167 108,20;0;0;0;;0;701 920,19;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.01.2025;Нач.часть пени 80%;03.01.2025;0;0;0;0;171 167 108,20;0;0;124 444,22;02.01.2025 - 03.01.2025;0;826 364,41;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;13.01.2025;Пост.сог.Мемор №686002712 Прочие ;13.01.2025;0;0;369 720,95;0;170 797 387,25;0;0;0;;0;826 364,41;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;13.01.2025;Пост.сог.Мемор №140 Прочие ;13.01.2025;0;0;172 055 092,77;0;0;1 257 705,52;0;0;;0;826 364,41;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;13.01.2025;Нач.часть пени 80%;13.01.2025;0;0;0;0;0;0;0;616 201,59;04.01.2025 - 13.01.2025;1 257 705,52;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.01.2025;С расчета за 12 м.;20.01.2025;59 428 339,98;0;0;0;59 428 339,98;0;0;0;;0;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.01.2025;Пост.сог.Мемор №13 Прочие ;20.01.2025;0;0;540 811,98;0;58 887 528,00;0;0;0;;0;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.01.2025;Пост.сог.Мемор №13 Прочие ;22.01.2025;0;0;58 959 188,02;0;0;71 660,02;0;0;;0;184 860,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.01.2025;Нач.часть пени 80%;22.01.2025;0;0;0;0;0;0;0;42 399,02;21.01.2025 - 22.01.2025;71 660,02;155 599,48;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.02.2025;Пост.сог.Мемор №712150883 Прочие ;05.02.2025;0;0;155 599,48;0;0;0;0;0;;155 599,48;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.02.2025;С расчета за 1 м.;20.02.2025;71 665 447,15;0;0;0;71 665 447,15;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;26.02.2025;С перерасчета за 6 м. 2023 г.;26.02.2025;0;0;0;0;71 665 447,15;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;26.02.2025;С перерасчета за 7 м. 2023 г.;26.02.2025;0;0;0;0;71 665 447,15;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;26.02.2025;Нач.часть пени 80%;26.02.2025;0;0;0;0;71 665 447,15;0;0;154 797,37;21.02.2025 - 26.02.2025;0;154 797,37;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.02.2025;Пост.сог.Мемор №38 Прочие ;28.02.2025;0;0;266 855,88;0;71 398 591,27;0;0;0;;0;154 797,37;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.02.2025;Нач.часть пени 80%;28.02.2025;0;0;0;0;71 398 591,27;0;0;51 599,12;27.02.2025 - 28.02.2025;0;206 396,49;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.03.2025;С перерасчета за 11 м. 2023 г.;03.03.2025;0;0;0;0;71 398 591,27;0;0;0;;0;206 396,49;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;03.03.2025;Нач.часть пени 80%;03.03.2025;0;0;0;0;71 398 591,27;0;0;77 110,48;01.03.2025 - 03.03.2025;0;283 506,97;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;07.03.2025;Пост.сог.Мемор №38 Прочие ;07.03.2025;0;0;71 433 144,12;0;0;34 552,85;0;0;;0;283 506,97;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;07.03.2025;Пост.сог.Мемор №732186061 Прочие ;07.03.2025;0;0;94 444,96;0;0;128 997,81;0;0;;0;283 506,97;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;07.03.2025;Пост.сог.Мемор №742163422 Прочие ;07.03.2025;0;0;257 323,13;0;0;386 320,94;0;0;;0;283 506,97;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;07.03.2025;Нач.часть пени 80%;07.03.2025;0;0;0;0;0;0;0;102 813,97;04.03.2025 - 07.03.2025;386 320,94;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.03.2025;С расчета за 2 м.;20.03.2025;9 257 215,98;0;0;0;9 257 215,98;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.03.2025;Пост.сог.Мемор №63 Прочие ;20.03.2025;0;0;9 300 000,00;0;0;42 784,02;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;25.03.2025;С перерасчета за 2 м. 2024 г.;25.03.2025;0;0;0;0;0;42 784,02;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;21.04.2025;С расчета за 3 м.;21.04.2025;122 835 834,63;0;0;0;122 793 050,61;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.04.2025;Пост.сог.Мемор №79 Прочие ;22.04.2025;0;0;3 422 063,59;0;119 370 987,02;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.04.2025;Пост.сог.Мемор №79 Прочие ;22.04.2025;0;0;26 269 760,00;0;93 101 227,02;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.04.2025;Пост.сог.Мемор №79 Прочие ;22.04.2025;0;0;420 000,00;0;92 681 227,02;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.04.2025;Нач.часть пени 80%;22.04.2025;0;0;0;0;92 681 227,02;0;0;45 842,74;22.04.2025 - 22.04.2025;0;45 842,74;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.04.2025;Пост.сог.Заключ №3346127001 Прочие ;28.04.2025;0;0;4 705 045,49;0;87 976 181,53;0;0;0;;0;45 842,74;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.04.2025;Пост.сог.Мемор №79 Прочие ;28.04.2025;0;0;7 325 000,00;0;80 651 181,53;0;0;0;;0;45 842,74;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.04.2025;Пост.сог.Мемор №79 Прочие ;28.04.2025;0;0;41 552 000,00;0;39 099 181,53;0;0;0;;0;45 842,74;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.04.2025;Нач.часть пени 80%;28.04.2025;0;0;0;0;39 099 181,53;0;0;207 605,95;23.04.2025 - 28.04.2025;0;253 448,69;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;29.04.2025;Пост.сог.Мемор №79 Прочие ;29.04.2025;0;0;4 536 000,00;0;34 563 181,53;0;0;0;;0;253 448,69;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;29.04.2025;Нач.часть пени 80%;29.04.2025;0;0;0;0;34 563 181,53;0;0;14 597,02;29.04.2025 - 29.04.2025;0;268 045,71;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;02.05.2025;Пост.сог.Мемор №79 Прочие ;02.05.2025;0;0;19 600 000,00;0;14 963 181,53;0;0;0;;0;268 045,71;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;02.05.2025;Нач.часть пени 80%;02.05.2025;0;0;0;0;14 963 181,53;0;0;38 710,76;30.04.2025 - 02.05.2025;0;306 756,47;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.05.2025;Пост.сог.Мемор №79 Прочие ;05.05.2025;0;0;8 000 000,00;0;6 963 181,53;0;0;0;;0;306 756,47;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.05.2025;Пост.сог.Заключ №3519270001 Прочие ;05.05.2025;0;0;6 002 160,00;0;961 021,53;0;0;0;;0;306 756,47;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.05.2025;Пост.сог.Заключ №3519271001 Прочие ;05.05.2025;0;0;7 500 000,00;0;0;6 538 978,47;0;0;;0;306 756,47;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.05.2025;Пост.сог.Мемор №79 Прочие ;05.05.2025;0;0;11 775 176,41;0;0;18 314 154,88;0;0;;0;306 756,47;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.05.2025;Нач.часть пени 80%;05.05.2025;0;0;0;0;0;17 990 639,65;0;16 758,76;03.05.2025 - 05.05.2025;323 515,23;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;12.05.2025;Пост.сог.Мемор №86 Прочие ;12.05.2025;0;0;216 600 000,00;0;0;234 590 639,65;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;14.05.2025;С расчета за 4 м.;20.05.2025;216 394 573,47;0;0;0;0;18 196 066,18;0;0;;0;0;18 196 066,18
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.06.2025;С расчета за 5 м.;20.06.2025;67 955 329,13;0;0;0;49 759 262,95;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;23.06.2025;Пост.сог.Мемор №125 Прочие ;23.06.2025;0;0;735 229,09;0;49 024 033,86;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;23.06.2025;Нач.часть пени 80%;23.06.2025;0;0;0;0;49 024 033,86;0;0;55 730,38;21.06.2025 - 23.06.2025;0;55 730,38;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.06.2025;Пост.сог.Заключ №4414018001 Прочие ;24.06.2025;0;0;12 451,16;0;49 011 582,70;0;0;0;;0;55 730,38;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.06.2025;Пост.сог.Заключ №4414017001 Прочие ;24.06.2025;0;0;12 316,18;0;48 999 266,52;0;0;0;;0;55 730,38;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.06.2025;Пост.сог.Мемор №125 Прочие ;24.06.2025;0;0;50 264 770,91;0;0;1 265 504,39;0;0;;0;55 730,38;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.06.2025;Нач.часть пени 80%;24.06.2025;0;0;0;0;0;1 191 471,71;0;18 302,30;24.06.2025 - 24.06.2025;74 032,68;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;21.07.2025;С расчета за 6 м.;21.07.2025;141 951 834,59;0;0;0;140 760 362,88;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.07.2025;Пост.сог.Мемор №153 Прочие ;22.07.2025;0;0;787 215,01;0;139 973 147,87;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.07.2025;Нач.часть пени 80%;22.07.2025;0;0;0;0;139 973 147,87;0;0;52 550,54;22.07.2025 - 22.07.2025;0;52 550,54;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.07.2025;Пост.сог.Мемор №153 Прочие ;24.07.2025;0;0;7 000 000,00;0;132 973 147,87;0;0;0;;0;52 550,54;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.07.2025;Нач.часть пени 80%;24.07.2025;0;0;0;0;132 973 147,87;0;0;104 513,28;23.07.2025 - 24.07.2025;0;157 063,82;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.07.2025;Пост.сог.Мемор №153 Прочие ;28.07.2025;0;0;7 853 328,00;0;125 119 819,87;0;0;0;;0;157 063,82;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;28.07.2025;Нач.часть пени 80%;28.07.2025;0;0;0;0;125 119 819,87;0;0;198 573,23;25.07.2025 - 28.07.2025;0;355 637,05;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;29.07.2025;Пост.сог.Мемор №153 Прочие ;29.07.2025;0;0;5 146 400,00;0;119 973 419,87;0;0;0;;0;355 637,05;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;29.07.2025;Нач.часть пени 80%;29.07.2025;0;0;0;0;119 973 419,87;0;0;46 711,40;29.07.2025 - 29.07.2025;0;402 348,45;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;04.08.2025;Пост.сог.Мемор №153 Прочие ;04.08.2025;0;0;403 200,00;0;119 570 219,87;0;0;0;;0;402 348,45;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;04.08.2025;Нач.часть пени 80%;04.08.2025;0;0;0;0;119 570 219,87;0;0;268 740,46;30.07.2025 - 04.08.2025;0;671 088,91;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.08.2025;Пост.сог.Мемор №153 Прочие ;05.08.2025;0;0;120 809 856,99;0;0;1 239 637,12;0;0;;0;671 088,91;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;05.08.2025;Нач.часть пени 80%;05.08.2025;0;0;0;0;0;523 908,66;0;44 639,55;05.08.2025 - 05.08.2025;715 728,46;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.08.2025;С расчета за 7 м.;20.08.2025;71 016 078,89;0;0;0;70 492 170,23;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;09.09.2025;Пост.сог.Мемор №159 Прочие ;09.09.2025;0;0;71 020 000,00;0;0;527 829,77;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;09.09.2025;Нач.часть пени 80%;09.09.2025;0;0;0;0;0;1 488,23;0;526 341,54;21.08.2025 - 09.09.2025;526 341,54;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;22.09.2025;С расчета за 8 м.;22.09.2025;56 573 585,99;0;0;0;56 572 097,76;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.09.2025;Пост.сог.Мемор №173 Прочие ;24.09.2025;0;0;1 932 142,59;0;54 639 955,17;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.09.2025;Пост.сог.Мемор №173 Прочие ;24.09.2025;0;0;54 667 857,41;0;0;27 902,24;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;24.09.2025;Нач.часть пени 80%;24.09.2025;0;0;0;0;0;0;0;42 240,50;23.09.2025 - 24.09.2025;27 902,24;14 338,26;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;09.10.2025;Пост.сог.Заключ №5783533001 Прочие ;08.10.2025;0;0;14 338,26;0;0;0;0;0;;14 338,26;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;09.10.2025;Пост.сог.Заключ №5830630001 Прочие ;09.10.2025;0;0;14 338,26;0;0;14 338,26;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;20.10.2025;С расчета за 9 м.;20.10.2025;237 887 154,01;0;0;0;237 872 815,75;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;23.10.2025;Пост.сог.Мемор №196 Прочие ;23.10.2025;0;0;238 000 000,00;0;0;127 184,25;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;23.10.2025;Нач.часть пени 80%;23.10.2025;0;0;0;0;0;0;0;266 417,55;21.10.2025 - 23.10.2025;127 184,25;139 233,30;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;31.10.2025;Пост.сог.Заключ №6014912001 Прочие ;24.10.2025;0;0;139 233,30;0;0;0;0;0;;139 233,30;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;11.11.2025;Пост.сог.Мемор №205 Прочие ;11.11.2025;0;0;79 000 000,00;0;0;79 000 000,00;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;12.11.2025;С расчета за 10 м.;20.11.2025;78 670 220,59;0;0;0;0;329 779,41;0;0;;0;0;329 779,41
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;10.12.2025;С расчета за 11 м.;22.12.2025;0;4 868 501,97;0;0;0;5 198 281,38;4 868 501,97;0;;0;0;5 198 281,38
Тошкент шаҳар Янгиҳаёт тумани;1;Қўшилган қиймат солиғи;31.12.2025;Сальдо на 31.12.2025 г.;31.12.2025;1 133 635 614,41;4 868 501,97;1 310 624 145,69;0;0;5 198 281,38;4 868 501,97;3 117 641,73;01.01.2025 - 31.12.2025;3 819 561,92;0;5 198 281,38
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;;Сальдо на;01.01.2025;0;0;0;0;429 400 424,91;0;0;0;;0;73 453 236,72;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;13.01.2025;Пост.сог.Мемор №686002714 Прочие ;13.01.2025;0;0;74 489 977,83;0;354 910 447,08;0;0;0;;0;73 453 236,72;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;13.01.2025;Пост.сог.Мемор №141 Прочие ;13.01.2025;0;0;429 700 000,00;0;0;74 789 552,92;0;0;;0;73 453 236,72;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;13.01.2025;Нач.часть пени 80%;13.01.2025;0;0;0;0;0;0;0;1 855 009,83;02.01.2025 - 13.01.2025;74 789 552,92;518 693,63;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;22.01.2025;Пост.сог.Мемор №697148660 Прочие ;22.01.2025;0;0;518 693,63;0;0;0;0;0;;518 693,63;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;14.01.2025;Аван. платеж за 1 м.;23.01.2025;0;0;0;0;0;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.02.2025;С перерасчета за 4 кв.2023 г.;19.02.2025;0;492 670 205,13;0;0;0;492 670 205,13;0;0;;0;0;492 670 205,13
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.02.2025;Умен. пени по перерасчету 80%;19.02.2025;0;0;0;0;0;492 670 205,13;0;-62 678 553,24;;0;-62 678 553,24;492 670 205,13
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.02.2025;Зачет излишне уплаченных сумм пени;19.02.2025;0;0;0;0;0;555 348 758,37;0;0;;0;0;492 670 205,13
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;14.01.2025;Аван. платеж за 2 м.;24.02.2025;0;0;0;0;0;555 348 758,37;0;0;;0;0;555 348 758,37
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;03.03.2025;С расчета за 4 кв.;03.03.2025;537 123 807,90;0;0;0;0;18 224 950,47;0;0;;0;0;18 224 950,47
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;20.03.2025;Возв.сог.Заключ №2947440001 Возв.сог.ПРОТОК ;14.03.2025;0;0;0;1 097,27;0;18 223 853,20;0;0;;0;0;18 223 853,20
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;20.03.2025;Возв.сог.Заключ №3057790001 Возв.сог.ПРОТОК ;18.03.2025;0;0;0;4 721 693,20;0;13 502 160,00;0;0;;0;0;13 502 160,00
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;20.03.2025;Возв.сог.Заключ №3057791001 Возв.сог.ПРОТОК ;18.03.2025;0;0;0;7 500 000,00;0;6 002 160,00;0;0;;0;0;6 002 160,00
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;20.03.2025;Возв.сог.Заключ №3057792001 Возв.сог.ПРОТОК ;18.03.2025;0;0;0;6 002 160,00;0;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;14.01.2025;Аван. платеж за 3 м.;24.03.2025;0;0;0;0;0;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;18.04.2025;С расчета за 1 кв.;21.04.2025;0;0;0;0;0;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;03.04.2025;Аван. платеж за 4 м.;23.04.2025;0;0;0;0;0;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;14.05.2025;С перерасчета за 4 кв.2024 г.;14.05.2025;235 000 000,00;0;0;0;235 000 000,00;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;14.05.2025;Пост.сог.Мемор №107 Прочие ;14.05.2025;0;0;235 000 000,00;0;0;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;14.05.2025;Нач. пени по перерасчету 80%;14.05.2025;0;0;0;0;0;0;0;6 155 720,19;;0;6 155 720,19;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;15.05.2025;С перерасчета за 1 кв.2025 г.;15.05.2025;12 957 917,85;0;0;0;12 957 917,85;0;0;0;;0;6 155 720,19;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;15.05.2025;Нач. пени по перерасчету 80%;15.05.2025;0;0;0;0;12 957 917,85;0;0;116 102,94;;0;6 271 823,13;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.05.2025;Пост.сог.Мемор №815082070 Прочие ;19.05.2025;0;0;12 957 917,85;0;0;0;0;0;;0;6 271 823,13;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.05.2025;Пост.сог.Мемор №113 Прочие ;19.05.2025;0;0;2 236 621,56;0;0;2 236 621,56;0;0;;0;6 271 823,13;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.05.2025;Нач.часть пени 80%;19.05.2025;0;0;0;0;0;0;0;19 350,49;16.05.2025 - 19.05.2025;2 236 621,56;4 054 552,06;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;20.05.2025;Пост.сог.Заключ №4071975001 Прочие ;20.05.2025;0;0;12 957 917,85;0;0;8 903 365,79;0;0;;4 054 552,06;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;03.04.2025;Аван. платеж за 5 м.;23.05.2025;0;0;0;0;0;8 903 365,79;0;0;;0;0;8 903 365,79
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;19.06.2025;С перерасчета за 4 кв.2024 г.;19.06.2025;0;0;0;0;0;8 903 365,79;0;0;;0;0;8 903 365,79
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;03.04.2025;Аван. платеж за 6 м.;23.06.2025;0;0;0;0;0;8 903 365,79;0;0;;0;0;8 903 365,79
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;26.06.2025;Возв.сог.Заключ №4453338001 Возв.сог.ПРОТОК ;26.06.2025;0;0;0;240,17;0;8 903 125,62;0;0;;0;0;8 903 125,62
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;27.06.2025;Возв.сог.Заключ №4499595001 Возв.сог.ПРОТОК ;27.06.2025;0;0;0;120,09;0;8 903 005,53;0;0;;0;0;8 903 005,53
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;21.07.2025;С расчета за 2 кв.;21.07.2025;212 321 893,20;0;0;0;203 418 887,67;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;04.07.2025;Аван. платеж за 7 м.;23.07.2025;0;0;0;0;203 418 887,67;0;0;0;;0;0;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;23.07.2025;Нач.часть пени 80%;23.07.2025;0;0;0;0;203 418 887,67;0;0;151 886,10;22.07.2025 - 23.07.2025;0;151 886,10;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;05.08.2025;Пост.сог.Мемор №154 Прочие ;05.08.2025;0;0;179 190 143,01;0;24 228 744,66;0;0;0;;0;151 886,10;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;05.08.2025;Нач.часть пени 80%;05.08.2025;0;0;0;0;24 228 744,66;0;0;987 259,67;24.07.2025 - 05.08.2025;0;1 139 145,77;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;08.08.2025;Пост.сог.Мемор №154 Прочие ;08.08.2025;0;0;14 084 000,00;0;10 144 744,66;0;0;0;;0;1 139 145,77;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;08.08.2025;Нач.часть пени 80%;08.08.2025;0;0;0;0;10 144 744,66;0;0;27 136,19;06.08.2025 - 08.08.2025;0;1 166 281,96;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;12.08.2025;С перерасчета за 2 кв.2025 г.;12.08.2025;149 992 170,00;0;0;0;160 136 914,66;0;0;0;;0;1 166 281,96;0
Тошкент шаҳар Янгиҳаёт тумани;32;Фойда солиғи;12.08.2025;Нач. пени по перерасчету 80%;12.08.2025;0;0;0;0;160 136 914,66;0;0;5 729 162,32;;0;6 895 444,28;0
